url;fv;tag
https://www.epay.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
https://www.braintreepayments.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 1, 0, 0];0
https://onerway.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 1, 1, 0, 0];0
https://www.bankinter.com/banca/inicio;[0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
https://www.evobanco.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
https://www.mintprepaid.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 0, 0, 0, 0, 1, 0, 0];0
https://wellsfargo.com;[0, 0, 0, 0, 0, 0, 0, 0, 1, 246, 0, 0, 0, 0, 0, 0, 0, 0, 1];0
https://www.laboralkutxa.com/es/;[0, 0, 0, 0, 0, 0, 0, 0, 1, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
https://payzone.ma/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 1, 0, 0];0
https://icicibank.com;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1589, 0, 1, 0, 0, 0, 0, 1, 0, 0];0
https://www.paynamics.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
https://hdfcbank.com;[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0];0
https://en.komoju.com/;[0, 0, 0, 0, 0, 0, 0, 1, 0, 369, 0, 0, 0, 0, 0, 1, 1, 0, 0];0
https://wise.com;[0, 0, 0, 0, 0, 0, 0, 1, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
https://pnc.com;[0, 0, 0, 0, 0, 0, 0, 0, 1, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
https://scotiabank.com;[0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 1, 0, 0, 0, 0, 0, 0, 0];0
https://www.iyzico.com/;[0, 0, 0, 0, 0, 0, 0, 1, 0, 135, 0, 0, 0, 0, 0, 0, 1, 0, 0];0
https://lay-buys.com/;[0, 1, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
https://www.revolut.com/payments/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
