url;fv;tag
http://portal-brasilprev.com/;[0, 1, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 1, 1, 0, 1];1
http://sben57242.42web.io/nab/ib.nab.com.au/nabib/indexee31.html?i=1;[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0];1
https://online.prommeerricas.repl.co;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0];1
https://trade.dydx.exchange/signup/bonus;[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0];1
https://paginaoffic.repl.co;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0];1
https://caseid100961085158510960.firebaseapp.com/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0];1
https://habilitarcuentaebisa.avisodebloqueo.repl.co/;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0];1
http://www.ubeaatseo.com.aygzs88.top/;[1, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0];1
http://webmailadmin0.myfreesites.net/;[0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 1, 0, 0, 0, 1, 1, 1, 1];1
https://megaparseonalse.com/female-escorts/11381;[0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 0, 0, 0, 1, 1, 0];1
http://nacionalstaronlyoff.atsnx.com;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0];1
https://fleek.ipfs.io/ipfs/QmTcFbiWduqEqNgHgnFyNjhp12QdfuLy6qDhBTRvuD5j8w/;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0];1
https://storage.googleapis.com/createnister2/overs.html;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0];1
